ottoneu_player_id,player_name,positions,team_id,team_name,salary,roster_pct,average_salary,pro_team,fantasy_points,fantasy_points_avg,games_played,minutes,minutes_avg,points,points_avg,rebounds,rebounds_avg,assists,assists_avg,steals,steals_avg,blocks,blocks_avg,field_goal_attempts,field_goal_attempts_avg,field_goals_made,field_goals_made_avg,free_throw_attempts,free_throw_attempts_avg,free_throws_made,free_throws_made_avg,three_point_attempts,three_point_attempts_avg,three_points_made,three_points_made_avg,turnovers,turnovers_avg,fg_pct,ft_pct,three_pt_pct
2731,Jabari Walker,F,,FA,0,0.0,0.0,PHI,-2,-2.0,1,5,5.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,0,0.0,0,0.0,0,0.0,2,2.0,0,0.0,0,0.0,0.0,0.0,0.0
7000,Oscar Tshiebwe,F/C,,FA,0,0.0,0.0,UTA,11,11.0,1,15,15.0,2,2.0,6,6.0,1,1.0,1,1.0,0,0.0,4,4.0,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0.25,0.0,0.0
7831,Marcus Sasser,G,,FA,0,0.0,0.0,DET,32,32.0,1,24,24.0,18,18.0,4,4.0,2,2.0,2,2.0,0,0.0,10,10.0,6,6.0,2,2.0,2,2.0,6,6.0,4,4.0,2,2.0,0.6,1.0,0.6667
7877,Tyrese Martin,F,,FA,0,0.0,0.0,BKN,4,4.0,1,19,19.0,3,3.0,0,0.0,0,0.0,1,1.0,0,0.0,3,3.0,1,1.0,0,0.0,0,0.0,2,2.0,1,1.0,1,1.0,0.3333,0.0,0.5
10177,Keon Ellis,G,,FA,0,52.9,3.67,SAC,22,22.0,1,27,27.0,16,16.0,1,1.0,1,1.0,1,1.0,0,0.0,10,10.0,6,6.0,2,2.0,1,1.0,6,6.0,3,3.0,1,1.0,0.6,0.5,0.5
11921,Kobe Sanders,G,,FA,0,0.0,0.0,LAC,21,21.0,1,25,25.0,10,10.0,4,4.0,3,3.0,1,1.0,0,0.0,7,7.0,4,4.0,0,0.0,0,0.0,5,5.0,2,2.0,2,2.0,0.5714,0.0,0.4
12370,Baylor Scheierman,G,,FA,0,5.9,1.0,BOS,2,2.0,1,9,9.0,3,3.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,1.0,0.0,1.0
12802,Kobe Brown,F,,FA,0,0.0,0.0,LAC,-2,-2.0,1,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0.0,0.0,0.0
17680,Derrick Jones Jr.,F,,FA,0,41.2,2.0,LAC,19,19.0,1,25,25.0,10,10.0,6,6.0,1,1.0,0,0.0,1,1.0,7,7.0,4,4.0,0,0.0,0,0.0,3,3.0,2,2.0,2,2.0,0.5714,0.0,0.6667
17732,Svi Mykhailiuk,G/F,,FA,0,5.9,1.0,UTA,4,4.0,1,24,24.0,5,5.0,2,2.0,1,1.0,0,0.0,0,0.0,9,9.0,2,2.0,0,0.0,0,0.0,5,5.0,1,1.0,0,0.0,0.2222,0.0,0.2
17748,Caleb Martin,F,,FA,0,11.8,7.0,DAL,0,0.0,1,4,4.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
17750,Dru Smith,G,,FA,0,5.9,1.0,MIA,27,27.0,1,15,15.0,9,9.0,0,0.0,1,1.0,3,3.0,1,1.0,4,4.0,3,3.0,2,2.0,2,2.0,2,2.0,1,1.0,1,1.0,0.75,1.0,0.5
21220,JD Davison,G,,FA,0,0.0,0.0,HOU,3,3.0,1,2,2.0,0,0.0,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
21508,Jaden Hardy,G,,FA,0,0.0,0.0,DAL,2,2.0,1,8,8.0,5,5.0,1,1.0,1,1.0,0,0.0,0,0.0,4,4.0,1,1.0,2,2.0,2,2.0,4,4.0,1,1.0,2,2.0,0.25,1.0,0.25
23016,Simone Fontecchio,F,,FA,0,5.9,1.0,MIA,7,7.0,1,7,7.0,5,5.0,3,3.0,0,0.0,0,0.0,0,0.0,3,3.0,2,2.0,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0.6667,0.0,1.0
23321,Taylor Hendricks,F,,FA,0,47.1,3.25,UTA,9,9.0,1,17,17.0,5,5.0,2,2.0,0,0.0,1,1.0,0,0.0,2,2.0,2,2.0,0,0.0,0,0.0,1,1.0,1,1.0,2,2.0,1.0,0.0,1.0
23409,Danny Wolf,F,,FA,0,64.7,2.55,BKN,27,27.0,1,30,30.0,9,9.0,4,4.0,5,5.0,2,2.0,0,0.0,10,10.0,4,4.0,0,0.0,0,0.0,4,4.0,1,1.0,1,1.0,0.4,0.0,0.25
24238,Yanic Konan Niederhauser,C,,FA,0,5.9,1.0,LAC,23,23.0,1,28,28.0,6,6.0,10,10.0,1,1.0,0,0.0,2,2.0,7,7.0,3,3.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0.4286,0.0,0.0
24430,Brice Sensabaugh,F,,FA,0,88.2,2.8,UTA,24,24.0,1,32,32.0,20,20.0,3,3.0,3,3.0,2,2.0,0,0.0,15,15.0,7,7.0,8,8.0,6,6.0,5,5.0,0,0.0,5,5.0,0.4667,0.75,0.0
25523,Hugo González,G,,FA,0,58.8,3.2,BOS,15,15.0,1,19,19.0,3,3.0,6,6.0,1,1.0,1,1.0,0,0.0,2,2.0,1,1.0,0,0.0,0,0.0,1,1.0,1,1.0,0,0.0,0.5,0.0,1.0
25823,Jalen Wilson,F,,FA,0,0.0,0.0,BKN,10,10.0,1,23,23.0,8,8.0,3,3.0,0,0.0,0,0.0,0,0.0,2,2.0,1,1.0,6,6.0,5,5.0,1,1.0,1,1.0,0,0.0,0.5,0.8333,1.0
26305,Cam Christie,G,,FA,0,0.0,0.0,LAC,0,0.0,1,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
26461,Cody Williams,F,,FA,0,17.6,2.33,UTA,23,23.0,1,27,27.0,18,18.0,0,0.0,0,0.0,0,0.0,1,1.0,10,10.0,6,6.0,5,5.0,4,4.0,5,5.0,2,2.0,0,0.0,0.6,0.8,0.4
31302,Drake Powell,G/F,,FA,0,17.6,2.67,BKN,5,5.0,1,26,26.0,8,8.0,0,0.0,1,1.0,1,1.0,0,0.0,9,9.0,3,3.0,3,3.0,1,1.0,4,4.0,1,1.0,2,2.0,0.3333,0.3333,0.25
