bref_id,PLAYER_ID,stats_player_id,espn_id,PLAYER_NAME,Team,team_g,stats_team_id
brazdig01,1629649,1133802,4397205,Ignas Brazdeikis,ORL,35,19
quickim01,1630193,1134175,4395724,Immanuel Quickley,NYK,34,18
bongais01,1629067,1121333,4348697,Isaac Bonga,TOR,31,28
okorois01,1630171,1193432,4432822,Isaac Okoro,CLE,34,5
harteis01,1628392,1057004,4222252,Isaiah Hartenstein,LAC,34,12
jacksis01,1630543,1245934,4432170,Isaiah Jackson,IND,34,11
joeis01,1630198,1134010,4395702,Isaiah Joe,PHI,34,20
liveris01,1630587,1067672,4277957,Isaiah Livers,DET,32,8
robyis01,1629676,944969,4066392,Isaiah Roby,OKC,33,25
stewais01,1630191,1177050,4432810,Isaiah Stewart,DET,32,8
thomais02,202738,457605,6472,Isaiah Thomas,LAL,35,13
toddis01,1630225,1271713,4715198,Isaiah Todd,WAS,34,27
smithis01,202397,329873,4305,Ish Smith,CHO,35,5312
wainris01,1630688,748530,3059307,Ish Wainright,PHO,33,21
zubaciv01,1627826,920093,4017837,Ivica Zubac,LAC,34,12
thorjt01,1630550,1251663,4702233,JT Thor,CHO,35,5312
moranja01,1629630,1065906,4279888,Ja Morant,MEM,35,29
greenja01,203210,460833,2327577,JaMychal Green,DEN,33,7
mclauja01,1630605,945673,4066496,JaQuori McLaughlin,DAL,33,6
mcgeeja01,201580,333212,3452,JaVale McGee,PHO,33,21
parkeja01,203953,756880,3056600,Jabari Parker,BOS,34,2
mcdanja02,1630183,1177013,4431671,Jaden McDaniels,MIN,34,16
sprinja01,1630531,1231665,4432164,Jaden Springer,PHI,34,20
crowdja01,203109,552381,6581,Jae Crowder,PHO,33,21
tateja01,1630256,844040,3136777,Jae'Sean Tate,HOU,35,10
ramseja01,1630186,1182151,4431688,Jahmi'us Ramsey,SAC,35,23
laymaja01,1627774,698664,2982268,Jake Layman,MIN,34,16
poeltja01,1627751,844478,3134908,Jakob Poeltl,SAS,33,24
brunsja01,1628973,887914,3934672,Jalen Brunson,DAL,33,6
greenja05,1630224,1271706,4437244,Jalen Green,HOU,35,10
johnsja05,1630552,1230356,4701230,Jalen Johnson,ATL,33,1
mcdanja01,1629667,953063,4066731,Jalen McDaniels,CHO,35,5312
smithja04,1630188,1133792,4397189,Jalen Smith,PHO,33,21
suggsja01,1630591,1241585,4432165,Jalen Suggs,ORL,35,19
bouknja01,1630547,1182632,4431712,James Bouknight,CHO,35,5312
ennisja01,203516,602135,2579321,James Ennis III,BRK,32,17
hardeja01,201935,395388,3992,James Harden,BRK,32,17
johnsja01,201949,398037,3999,James Johnson,BRK,32,17
pickeja01,1630691,1076297,4278566,Jamorko Pickett,DET,32,8
butleja02,1630215,1134886,4395695,Jared Butler,UTA,33,26
harpeja01,1629607,947237,4066248,Jared Harper,NOP,35,3
jacksja02,1628991,1078662,4277961,Jaren Jackson Jr.,MEM,35,29
vandeja01,1629020,1067852,4278077,Jarred Vanderbilt,MIN,34,16
allenja01,1628386,956574,4066328,Jarrett Allen,CLE,34,5
culveja01,1629633,1078671,4277928,Jarrett Culver,MEM,35,29
cumbeja01,1629600,950021,4066486,Jarron Cumberland,POR,33,22
greenja02,1629750,624174,2596112,Javonte Green,CHI,31,4
smartja01,1630606,1137201,4396972,Javonte Smart,MIL,36,15
hayesja02,1629637,1140887,4397077,Jaxson Hayes,NOP,35,3
huffja01,1630643,942843,4065731,Jay Huff,LAL,35,13
scrubja01,1630206,1257432,4683023,Jay Scrubb,LAC,34,12
brownja02,1627759,883436,3917376,Jaylen Brown,BOS,34,2
nowelja01,1629669,1089562,4278541,Jaylen Nowell,MIN,34,16
tatumja01,1628369,937647,4065648,Jayson Tatum,BOS,34,2
dowtije01,1630288,953377,4066786,Jeff Dowtin,GSW,34,9
greenje02,201145,266367,3209,Jeff Green,DEN,33,7
jonesje01,1629203,956193,4067469,Jemerrio Jones,LAL,35,13
grantje01,203924,699826,2991070,Jerami Grant,DET,32,8
robinje02,1630526,1176176,4432813,Jeremiah Robinson-Earl,OKC,33,25
lambje01,203087,552980,6603,Jeremy Lamb,IND,34,11
simsje01,1630579,1071933,4277922,Jericho Sims,NYK,34,18
carteje01,1628975,843794,3133635,Jevon Carter,BRK,32,17
butleji01,202710,458730,6430,Jimmy Butler,MIA,35,14
landajo01,1629111,850308,3146557,Jock Landale,SAS,33,24
harrijo01,203925,549969,2528794,Joe Harris,BRK,32,17
inglejo01,204060,553306,2968436,Joe Ingles,UTA,33,26
johnsjo02,2207,3501,1007,Joe Johnson,BOS,34,2
wieskjo01,1630580,1141061,4397033,Joe Wieskamp,SAS,33,24
ayayijo01,1630555,1077553,4280150,Joel Ayayi,WAS,34,27
embiijo01,203954,794508,3059318,Joel Embiid,PHI,34,20
collijo01,1628381,880468,3908845,John Collins,ATL,33,1
konchjo01,1629723,852907,3134932,John Konchar,MEM,35,29
valanjo01,202685,599780,6477,Jonas Valanciunas,NOP,35,3
kuminjo01,1630228,1271708,4433247,Jonathan Kuminga,GSW,34,9
clarkjo01,203903,551975,2528426,Jordan Clarkson,UTA,33,26
goodwjo01,1630692,1062104,4278402,Jordan Goodwin,WAS,34,27
mclaujo01,1629162,844465,3134916,Jordan McLaughlin,MIN,34,16
nworajo01,1629670,1076189,4277883,Jordan Nwora,MIL,36,15
poolejo01,1629673,1067671,4277956,Jordan Poole,GSW,34,9
schakjo01,1630648,1062275,4895528,Jordan Schakel,WAS,34,27
alvarjo01,1630631,1060919,4277869,Jose Alvarado,NOP,35,3
chrisjo01,1630528,1231305,4432168,Josh Christopher,HOU,35,10
giddejo01,1630581,1323503,4871145,Josh Giddey,OKC,33,25
greenjo02,1630182,1193670,4432811,Josh Green,DAL,33,6
hartjo01,1628404,741892,3062679,Josh Hart,NOP,35,3
jacksjo02,1628367,944164,4066297,Josh Jackson,DET,32,8
okogijo01,1629006,941460,4065663,Josh Okogie,MIN,34,16
richajo01,1626196,604288,2581190,Josh Richardson,BOS,34,2
primojo01,1630563,1231214,4702176,Joshua Primo,SAS,33,24
holidjr01,201950,457576,3995,Jrue Holiday,MIL,36,15
toscaju01,1629308,601511,4401416,Juan Toscano-Anderson,GSW,34,9
